st,Freq
Alabama,4
Alberta,4
Arizona,5
Arkansas,5
California,49
Catalonia,1
Coahuila,1
Colorado,9
Connecticut,7
Cyprus,1
Delaware,2
District of Columbia,5
England,2
Florida,16
Georgia,14
Guam,1
Illinois,14
Indiana,8
Iowa,3
Kansas,12
Kentucky,5
Louisiana,6
Maine,2
Maryland,13
Massachusetts,9
Michigan,15
Minnesota,3
Mississippi,1
Missouri,15
Nebraska,4
Nevada,4
New Brunswick,1
New Hampshire,2
New Jersey,12
New Mexico,3
New York,21
North Carolina,16
Ohio,16
Oklahoma,7
Ontario,8
Oregon,3
Pennsylvania,19
Quebec,2
Rhode Island,3
Scotland,1
South Carolina,5
South Dakota,1
Tennessee,6
Texas,25
Utah,3
Utrecht,1
Vermont,2
Virginia,11
Washington,7
West Virginia,2
Western Finland,1
Wisconsin,5
